"","教室","月1","月2","月3","月4","月5","火1","火2","火3","火4","火5","水1","水2","水3","水4","水5","木1","木2","木3","木4","木5","金1","金2","金3","金4","金5"
"171","１５教室","0","1","1","1","0","1","1","0","0","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0"
"172","２０８教室","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"173","ＣＡＬＬ教室１","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","0","0"
"174","７２４教室","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0"
"175","１００６２教室","0","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0"
"176","１０２教室","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1"
"177","４２５教室","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"178","ゼミ７０教室","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","0"
"179","ゴルフ練習場","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0"
"180","１０１１２教室","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
"181","ゼミ１０１２Ａ","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1"
"182","ゼミ１０１２Ｃ","1","1","1","1","1","0","1","0","1","0","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1"
"183","ゼミ１０１Ｄ","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0"
"184","７２２教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","1","1","1","0","0"
"185","１００９２教室","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0"
"186","１０１１４教室","1","0","1","0","1","0","0","1","1","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","0"
"187","４２４教室","1","1","1","1","0","0","1","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","1","0","0"
"188","１０１教室","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"189","１０１１５教室","1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0"
"190","グローバルＢ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0"
"191","ゼミ４２教室","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","0"
"192","１００３１教室　黒門ホール","1","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"193","ゼミ１０１Ａ","0","1","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"194","３０２教室","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"195","１００４１教室","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1"
"196","４２６教室","0","1","1","0","0","0","1","0","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","0"
"197","１００５１教室","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0"
"198","フェンシング場","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0"
"199","ゼミ１０５Ｈ","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","1","0","1","0","0","0"
"200","アリーナ","0","1","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0"
"201","５７１教室","0","1","1","1","0","0","1","0","0","0","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1"
"202","５２３教室","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"203","体育室１","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1"
"204","８４４教室","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"205","研究室１３１２","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"206","７８３教室","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","0","1","0","1","1"
"207","３０３教室","0","1","1","1","1","1","0","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"208","研究室１３０７","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"209","５５１教室","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","1","1","0","0"
"210","１００８１教室","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1"
"211","研究室１００８","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"212","ゼミ４３教室","0","1","1","1","1","0","1","0","0","0","1","0","1","1","1","0","1","1","1","1","1","0","0","1","1"
"213","１０１１３教室","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"214","１３教室","0","1","1","1","0","1","1","1","0","1","0","1","1","1","1","0","1","1","0","1","0","0","1","0","0"
"215","研究室１１１５","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","７３１教室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"217","１０１１１教室","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
"218","７７１教室","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"219","７８１教室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"220","研究室９０２","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","ゼミ１０１２Ｈ","0","0","1","0","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","0","1"
